"SID","SID2","beepvar3","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","studied","interacted","se","academic_motiv","sick","free","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"10121",86,18,-0.16,-0.153846153846154,-0.423076923076923,-0.192307692307693,-0.5,-0.0384615384615383,-0.0800000000000001,0.538461538461538,-0.115384615384615,1,1,4,4,3,0,0.463033476111609,0.967152839723182,0.945434373103789,0.895286804068094,0.812403840463596,0.720042733774558,0.56,0.706018086497463,0.908930055699472
"10122",87,18,-0.636363636363636,-1.29411764705882,-0.676470588235294,-1.5,0.5,-0.970588235294118,-0.0454545454545454,-0.0882352941176472,0.147058823529412,1,0,3,3,2,1,0.579731105142697,0.93838713225522,0.684042716869841,0.615457454896664,0.615457454896664,1.16736673673667,0.626547670549556,0.451774082641845,0.500445434386781
"10123",88,18,-0.5625,-0.764705882352941,-0.617647058823529,-1.61764705882353,-0.558823529411765,1.08823529411765,-0.451612903225806,1.23529411764706,-0.235294117647059,0,1,4,4,3,0,0.850579125352162,1.1297310897359,1.27955261789455,1.15508640323159,0.823561242063752,1.08341902855906,0.882101817713406,0.81867681599961,1.20752247057106
"10124",89,25,-0.0239873090861278,1.44,-1.54,0.8,-0.2,-1.54,0.630434782608695,0.04,-0.3,0,0,5,5,5,0,0,1.54073928716717,1.41724078002696,1.12485826771597,0.699854212223765,1.61889355009235,0.841735225522046,1.39912509105089,0.614451804788759
"10125",90,21,-0.518518518518519,0.0606060606060606,0.606060606060606,-0.818181818181818,-0.242424242424242,-0.848484848484849,-0.111111111111111,0.545454545454545,-0.757575757575758,1,1,3,4,2,0,0.805076485899413,1.1709876691119,1.02893737477658,0.808337238353579,1.14647020868139,1.30195075082576,0.763762615825973,0.794154782257098,1.06155260792574
"10127",92,20,0.450638792102207,-1.07142857142857,-0.666666666666667,-0.380952380952381,-0.214285714285714,0.190476190476191,-1.4006968641115,-0.309523809523809,-0.214285714285714,0,1,4,2,2,0,0.824921914508541,1.47156556988835,1.35550668533347,1.1466256103716,0.645272273246115,1.15268710957918,1.28405234982234,0.869204717476093,1.13772803740965
"10128",93,21,0,1.72222222222222,-1.16666666666667,1.08333333333333,-0.0555555555555556,-1.33333333333333,0,-0.166666666666667,-0.944444444444444,0,0,4,2,4,0,0.508747019069169,1.48537847242688,0.736788397613007,0.96732325812744,0.333333333333333,1.09544511501033,0.291331339851778,0.377964473009227,0.924104027676675
"10129",94,24,1,1.3469387755102,2.04081632653061,-0.0204081632653059,0.469387755102041,-1.55102040816327,-0.475,-2.55102040816327,-0.26530612244898,1,1,2,2,1,1,0.645497224367903,1.28372862540082,1.22405037466923,1.14545834927856,0.793253868997984,1.19130923234685,0.576899037960716,1.02186970161309,1.05624157203899
"10130",95,22,0.444444444444444,1.93181818181818,-0.363636363636364,1.09090909090909,-0.295454545454545,-0.568181818181818,-0.0833333333333335,-0.136363636363636,-0.477272727272727,1,1,3,3,1,0,0.662779364334855,1.42073887217798,1.14304589199431,1.11685150931936,0.631702956928976,0.997618729256854,0.624127297689286,0.878447602464052,0.848764803306501
"10134",99,13,0,0.652173913043478,1.8695652173913,2,-0.826086956521739,-0.565217391304348,0,-0.173913043478261,-1.43478260869565,0,0,3,1,5,0,0.199431008804366,1.11227431427577,1.3247417527437,1.04446593573419,0.716822148161496,0.8434823356733,0.291937104060571,0.38755338788159,1.16095912372336
