"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10444",12,7,2,3,2,5,1,3,3,4,3,2,2,3,4,4,2
"10442",16,7,1,1,3,3,1,4,3,4,5,4,1,3,3,3,1
"10277",40,7,1,4,1,2,1,1,5,5,3,5,1,5,5,5,1
"10439",12,7,NA,5,3,4,2,2,NA,4,1,4,1,4,4,3,2
"10418",32,6,1,1,1,3,1,5,3,3,2,5,2,3,4,5,1
"10429",32,6,1,3,1,4,1,5,5,5,2,5,1,5,5,5,1
"10422",12,6,2,3,2,3,1,3,3,3,3,4,2,4,4,4,1
"10349",52,6,1,1,3,5,1,5,3,5,2,4,1,5,5,5,1
"10438",4,6,1,2,3,5,1,4,2,4,1,5,1,5,4,5,1
"10366",40,6,1,1,4,5,1,5,5,5,3,4,1,5,4,5,1
"10411",44,6,2,4,3,4,1,1,4,5,1,3,3,4,4,3,3
"10437",8,6,2,2,2,3,2,4,3,3,4,3,3,3,2,3,1
"10277",36,6,NA,5,2,3,1,1,NA,4,1,5,1,5,5,4,1
"10439",8,6,2,3,4,3,1,2,3,3,2,3,3,3,4,3,3
"10441",12,6,1,3,1,2,5,2,3,4,3,2,5,2,4,2,5
"10436",16,6,1,3,2,3,1,3,4,4,3,4,2,4,4,4,1
"10397",8,6,2,3,3,3,3,3,4,3,4,3,4,4,2,3,2
"10434",24,6,2,3,1,4,1,4,2,2,2,5,1,3,1,4,1
"10428",24,6,1,2,3,5,1,4,3,3,2,4,1,4,4,4,1
"10372",36,6,1,2,5,4,3,3,3,3,2,3,2,3,3,3,1
"10432",8,6,2,1,3,4,1,4,4,5,2,5,1,5,4,4,1
"10436",12,5,2,2,3,5,1,3,3,3,2,4,1,4,4,4,1
"10277",32,5,1,1,3,5,1,4,5,5,1,5,1,5,5,5,1
"10442",8,5,1,1,1,4,1,4,4,4,1,5,1,4,5,5,1
"10372",32,5,4,3,5,5,2,4,3,3,2,4,2,3,3,4,2
"10397",4,5,3,1,5,5,1,5,3,5,1,4,2,5,5,4,1
"10366",36,5,1,1,4,4,1,4,5,5,1,4,1,5,4,4,1
"10434",20,5,2,4,3,2,4,3,1,2,3,2,4,2,1,2,5
"10429",28,5,1,1,1,3,1,5,5,5,1,5,1,5,5,5,1
"10411",40,5,2,3,2,3,2,4,5,4,2,4,3,4,5,4,1
"10432",4,5,NA,4,4,4,1,2,NA,3,1,4,1,5,4,5,1
"10439",4,5,1,3,3,4,1,4,3,3,1,4,1,4,4,4,1
