"esm.IDnum.w7","esm.PRO01.w7","esm.PRO03.w7","esm.PRO04.w7","esm.PRO05.w7","esm.BFI37.w7","esm.BFI21.w7","esm.BFI23.w7","esm.BFI09.w7","esm.BFI04.w7","esm.BFI36.w7","esm.BFI32.w7","esm.BFI13.w7","esm.BFI19.w7"
47284,29,4,13,52,NA,4,3,4,1,2,NA,4,2
47284,29,1,14,53,2,4,2,4,1,2,2,4,2
47284,29,4,14,56,NA,4,2,4,1,3,NA,4,1
47284,29,1,15,57,2,4,2,4,1,4,2,4,2
50556,4,2,1,2,4,3,1,4,1,4,1,4,1
50556,4,4,4,16,1,2,1,2,1,4,3,4,4
50556,4,4,5,20,NA,5,1,3,1,1,NA,4,2
50556,4,1,12,45,1,3,3,4,1,4,3,4,2
44638,11,2,1,2,3,3,4,2,1,4,4,3,5
44638,11,1,2,5,4,3,4,3,1,2,2,4,2
44638,11,1,3,9,5,1,5,2,1,5,2,1,5
44638,11,1,4,13,4,1,3,2,1,4,2,2,3
44638,11,1,5,17,4,2,5,2,1,2,1,1,5
44638,11,1,8,29,4,2,5,4,1,3,2,1,2
44638,11,1,10,37,5,1,4,3,1,5,2,4,3
44638,11,1,11,41,5,1,5,1,1,3,2,2,3
44638,11,1,12,45,2,2,1,2,1,5,5,5,1
44638,11,1,14,53,5,5,5,3,1,2,2,3,3
44638,11,1,15,57,5,3,5,3,1,3,2,4,5
74435,16,1,1,1,1,4,3,3,1,1,5,3,1
74435,16,4,4,16,NA,5,5,3,1,1,NA,5,1
74435,16,1,5,17,1,4,1,5,1,3,4,4,1
74435,16,4,5,20,NA,5,4,4,1,1,NA,3,1
74435,16,1,6,21,3,4,3,3,1,1,3,1,1
74435,16,4,6,24,NA,5,3,5,1,1,NA,5,1
74435,16,1,7,25,1,5,1,3,1,1,3,5,1
74435,16,1,8,29,1,3,1,5,1,5,5,4,1
74435,16,1,11,41,NA,2,3,3,1,1,NA,5,1
74435,16,4,11,44,NA,5,5,4,1,1,NA,4,1
74435,16,1,12,45,1,4,1,2,1,2,4,2,2
74435,16,4,12,48,1,1,1,5,1,5,5,5,1
74435,16,1,13,49,1,3,1,1,1,2,5,5,1
74435,16,4,13,52,NA,5,1,5,1,1,NA,5,1
74435,16,1,14,53,1,3,1,3,1,3,5,5,1
74435,16,1,15,57,1,3,1,4,1,5,5,5,1
29431,1,1,1,1,3,4,2,2,1,2,3,3,3
87314,10,1,1,1,5,2,2,4,1,4,2,5,2
87314,10,4,5,20,1,3,2,3,2,3,3,3,3
87314,10,1,6,21,2,NA,2,2,4,3,4,3,4
87314,10,1,7,25,1,3,4,4,1,3,4,5,2
87314,10,1,8,29,1,2,2,5,1,5,4,4,1
87314,10,1,10,37,1,4,3,4,1,2,3,4,1
87314,10,4,10,40,1,2,1,5,1,4,4,4,1
87314,10,4,11,44,2,3,2,4,2,3,4,5,2
87314,10,1,13,49,1,3,2,3,2,4,4,4,2
87314,10,1,15,57,3,2,2,3,1,4,5,4,1
47951,22,1,1,1,2,3,2,4,1,3,4,4,2
47951,22,4,4,16,1,3,4,5,1,2,2,3,1
47951,22,1,5,17,1,3,1,3,1,2,2,4,1
47951,22,4,5,20,1,4,2,4,1,2,3,4,2
47951,22,1,6,21,1,3,2,4,1,2,2,4,1
47951,22,4,6,24,1,3,2,3,1,2,3,3,4
47951,22,1,7,25,1,3,2,4,1,3,3,3,2
47951,22,4,7,28,1,4,2,4,1,4,4,4,2
47951,22,1,8,29,1,4,3,4,1,2,3,4,1
47951,22,4,8,32,1,3,4,4,1,3,3,3,2
47951,22,4,9,36,1,3,3,4,1,2,3,3,2
47951,22,1,10,37,1,4,2,4,1,2,4,4,3
47951,22,4,10,40,1,4,3,4,1,3,3,3,2
47951,22,1,11,41,1,4,2,3,1,3,4,4,2
47951,22,4,11,44,1,3,2,2,2,2,3,3,4
47951,22,1,12,45,1,3,2,5,1,2,3,4,2
47951,22,4,12,48,1,4,4,4,1,2,3,4,2
47951,22,1,13,49,1,4,3,3,1,2,4,4,2
47951,22,4,13,52,1,4,2,4,1,2,3,4,3
47951,22,1,14,53,1,4,2,4,1,3,3,4,2
47951,22,4,14,56,1,2,3,4,1,4,4,4,3
47951,22,1,15,57,1,4,3,3,1,2,4,3,4
3194,8,1,1,1,1,5,2,4,3,2,4,NA,1
3194,8,1,2,5,NA,5,2,4,3,1,NA,5,4
3194,8,4,2,8,3,2,2,5,3,5,5,5,1
3194,8,1,4,13,1,4,3,4,3,1,5,5,2
3194,8,4,4,16,NA,4,2,3,4,1,NA,5,1
3194,8,1,5,17,2,3,2,4,3,4,5,5,3
3194,8,1,6,21,NA,4,3,3,4,1,NA,4,1
3194,8,4,6,24,3,3,4,4,4,2,3,3,3
40883,4,2,1,2,2,4,3,2,3,2,5,4,4
40883,4,4,1,4,NA,4,3,2,3,2,NA,4,4
40883,4,1,2,5,1,2,2,2,2,3,3,4,3
40883,4,4,3,12,NA,4,3,3,2,2,NA,4,2
82413,9,2,1,2,3,2,1,2,1,5,3,4,2
82413,9,1,2,5,NA,5,4,5,1,1,NA,3,1
82413,9,1,3,9,2,4,3,2,3,2,3,3,3
82413,9,1,5,17,1,4,2,4,1,3,3,4,1
82413,9,1,6,21,1,2,1,3,1,4,3,5,2
82413,9,1,8,29,1,4,3,3,1,3,3,3,1
82413,9,1,12,45,1,2,2,3,1,3,4,5,1
82413,9,1,14,53,1,5,2,3,1,2,3,3,2
82413,9,1,15,57,1,5,1,2,1,2,3,3,3
44255,6,4,1,4,1,1,5,5,1,4,4,4,2
44255,6,4,2,8,2,1,5,5,1,5,4,4,1
44255,6,4,5,20,3,3,4,2,3,2,3,2,3
44255,6,1,6,21,1,4,4,3,1,1,3,3,3
44255,6,1,8,29,NA,4,2,3,4,1,NA,2,4
44255,6,1,12,45,1,3,3,3,1,4,5,4,3
28861,9,2,1,2,2,4,1,3,2,2,4,4,2
28861,9,1,3,9,1,5,2,3,1,1,3,3,1
28861,9,4,3,12,1,2,2,4,1,5,5,5,1
28861,9,1,5,17,1,2,2,3,2,4,3,5,2
28861,9,4,5,20,NA,3,4,3,3,1,NA,1,3
28861,9,4,7,28,1,2,2,4,1,3,3,3,1
28861,9,1,8,29,1,4,2,3,1,1,3,4,1
28861,9,4,13,52,NA,5,1,3,2,1,NA,4,3
28861,9,1,15,57,NA,4,3,3,1,2,NA,3,2
25579,5,1,1,1,3,1,1,4,1,3,4,5,2
25579,5,4,1,4,NA,5,4,3,1,2,NA,2,2
25579,5,1,5,17,1,1,1,3,1,4,3,4,2
25579,5,1,6,21,1,2,2,3,1,4,4,3,3
25579,5,1,7,25,1,5,1,2,1,1,1,4,3
16497,4,2,1,2,3,3,3,3,2,3,4,3,3
16497,4,1,13,49,1,3,3,1,1,3,4,3,5
16497,4,1,14,53,2,4,3,1,4,2,3,5,5
16497,4,1,15,57,1,3,1,4,2,3,3,3,2
64875,7,2,1,2,1,5,4,3,1,2,5,3,3
64875,7,4,4,16,2,2,1,3,2,4,3,3,3
64875,7,1,5,17,NA,5,3,4,1,1,NA,4,2
64875,7,1,6,21,2,3,3,4,2,3,4,4,3
64875,7,1,7,25,2,5,3,4,2,1,4,4,2
64875,7,1,8,29,2,2,3,3,3,4,3,4,3
64875,7,1,9,33,2,5,3,4,2,2,3,3,2
10623,9,1,1,1,1,5,4,5,2,1,5,4,1
10623,9,4,2,8,1,1,1,2,1,5,4,4,1
10623,9,4,3,12,1,4,3,3,2,2,4,5,2
10623,9,4,4,16,1,2,1,4,1,5,4,5,2
10623,9,1,7,25,NA,5,5,5,3,1,NA,2,3
10623,9,1,9,33,NA,5,5,4,4,1,NA,1,4
10623,9,4,10,40,2,2,4,2,3,4,4,4,5
10623,9,1,12,45,NA,1,1,4,1,1,NA,4,3
10623,9,4,13,52,1,5,5,3,4,1,3,3,4
42579,15,2,1,2,4,4,2,1,1,3,5,5,3
42579,15,4,1,4,NA,4,4,5,1,2,NA,3,1
42579,15,4,2,8,1,3,5,5,1,4,2,3,2
42579,15,4,3,12,1,3,1,4,1,3,4,4,3
42579,15,1,4,13,1,5,1,3,1,1,1,3,1
42579,15,4,4,16,1,3,3,5,1,1,2,3,2
42579,15,4,5,20,1,2,1,5,2,3,4,4,4
42579,15,1,6,21,1,5,2,3,1,1,3,3,3
42579,15,4,6,24,3,2,1,5,4,3,5,3,5
42579,15,1,7,25,1,3,2,3,1,3,4,3,5
42579,15,4,7,28,NA,3,3,5,1,1,NA,3,3
42579,15,1,8,29,1,5,2,3,4,1,2,3,5
42579,15,1,9,33,1,1,1,4,1,4,4,4,2
42579,15,1,13,49,1,4,3,4,1,2,3,3,4
42579,15,1,14,53,1,3,1,5,1,4,4,3,3
10579,17,2,1,2,3,3,1,1,2,3,2,3,3
10579,17,4,1,4,NA,5,3,3,3,1,NA,3,3
10579,17,1,2,5,1,4,3,2,2,2,3,3,2
10579,17,1,3,9,1,3,2,2,3,3,4,3,2
10579,17,1,5,17,2,4,3,3,3,1,4,4,2
10579,17,4,5,20,NA,5,3,2,2,2,NA,4,2
10579,17,1,6,21,NA,5,3,4,2,2,NA,4,2
10579,17,4,6,24,NA,5,3,4,2,2,NA,4,2
10579,17,1,7,25,2,4,3,2,3,2,4,3,2
10579,17,4,7,28,NA,4,2,2,2,2,NA,4,3
10579,17,1,8,29,2,5,2,3,3,2,4,4,2
10579,17,4,9,36,2,3,3,3,2,3,4,4,2
10579,17,1,11,41,1,4,3,3,2,2,4,4,2
10579,17,1,12,45,1,4,4,3,3,2,5,4,2
10579,17,4,12,48,1,5,3,3,2,3,4,4,2
10579,17,1,13,49,1,3,3,4,2,3,5,4,1
10579,17,1,14,53,1,4,3,3,3,3,4,4,2
1180,4,1,1,0,5,2,2,4,1,3,3,5,1
1180,4,1,1,1,1,4,3,3,2,3,3,3,3
1180,4,4,1,4,NA,4,3,5,1,3,NA,3,3
1180,4,4,3,12,NA,3,3,3,1,3,NA,3,4
51446,11,1,1,1,2,3,5,4,2,3,4,3,3
51446,11,4,1,4,3,3,3,3,1,4,3,4,2
51446,11,1,2,5,3,4,3,4,2,2,2,2,2
51446,11,1,3,9,NA,5,5,2,4,2,NA,3,4
51446,11,1,4,13,2,5,2,3,3,2,3,2,3
51446,11,1,5,17,2,2,4,4,2,4,4,1,3
51446,11,1,6,21,2,4,4,5,3,2,4,1,3
51446,11,1,7,25,2,2,2,4,1,4,4,4,1
51446,11,1,8,29,2,3,4,4,2,4,4,3,3
51446,11,1,9,33,3,5,4,4,3,2,3,3,3
51446,11,1,11,41,4,3,2,2,4,2,2,2,4
21156,2,1,1,1,2,2,3,3,2,3,2,4,2
21156,2,1,6,21,2,3,3,4,1,3,3,3,3
82671,3,2,1,2,4,4,3,4,1,4,3,4,1
82671,3,1,2,5,1,3,2,3,1,3,4,4,2
82671,3,1,3,9,1,3,2,3,1,3,3,4,1
58472,1,1,1,1,3,2,3,3,2,3,3,3,3
62268,8,4,1,4,2,1,1,2,2,5,3,2,2
62268,8,4,2,8,1,4,3,3,2,1,1,3,4
62268,8,1,3,9,NA,5,4,4,2,2,NA,3,3
62268,8,4,3,12,2,3,3,3,2,2,2,3,3
62268,8,1,5,17,2,4,2,3,2,3,2,NA,2
62268,8,1,8,29,1,3,2,3,1,2,3,3,2
62268,8,1,11,41,2,4,2,3,1,2,4,3,2
62268,8,1,13,49,2,2,1,2,1,3,4,4,2
73719,6,1,1,1,2,5,3,2,3,2,3,4,3
73719,6,1,6,21,NA,5,3,3,3,1,NA,4,3
73719,6,1,7,25,NA,4,1,5,2,3,NA,5,3
73719,6,1,8,29,1,3,1,2,2,3,5,5,1
73719,6,1,11,41,1,5,3,3,2,3,5,5,1
73719,6,4,11,44,1,5,4,3,4,3,3,3,3
46328,2,2,1,2,4,2,3,4,2,4,3,4,1
46328,2,1,3,9,2,4,4,3,2,2,3,4,2
53836,7,1,1,1,1,4,4,5,1,3,5,5,1
53836,7,1,2,5,1,1,1,5,1,5,5,5,1
53836,7,1,5,17,1,1,3,5,1,5,5,5,1
