"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely","day","real_order"
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,0.0851063829787235,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-1.02127659574468,NA,NA,1.36170212765957,0.574468085106383,1.34042553191489,-0.25531914893617,57,3
"5",2.17948717948718,-1.80851063829787,-1.27659574468085,0.0851063829787235,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,0.978723404255319,NA,NA,-2.63829787234043,1.57446808510638,1.34042553191489,-1.25531914893617,45,3
"5",-0.82051282051282,-1.80851063829787,-0.276595744680851,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-2.02127659574468,NA,NA,0.361702127659575,0.574468085106383,0.340425531914894,-1.25531914893617,25,3
"8",NA,-0.153846153846154,-1.53846153846154,0.519230769230769,-0.653846153846154,-0.442307692307693,NA,1,0.0192307692307692,NA,NA,0.192307692307693,1.13461538461538,-0.0192307692307692,-0.480769230769231,21,3
"8",0,-1.15384615384615,-0.538461538461538,-0.480769230769231,-0.653846153846154,-0.442307692307693,1.1,1,-0.980769230769231,NA,NA,-1.80769230769231,0.134615384615385,-0.0192307692307692,-0.480769230769231,9,3
"8",0,-1.15384615384615,-1.53846153846154,-0.480769230769231,-0.653846153846154,0.557692307692307,0.1,1,-0.980769230769231,NA,NA,1.19230769230769,0.134615384615385,-0.0192307692307692,-0.480769230769231,25,3
"8",NA,0.846153846153846,1.46153846153846,-0.480769230769231,-0.653846153846154,-1.44230769230769,NA,-1,-0.980769230769231,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,-0.480769230769231,49,3
"8",0,0.846153846153846,-0.538461538461538,-0.480769230769231,-0.653846153846154,0.557692307692307,0.1,1,0.0192307692307692,NA,NA,1.19230769230769,0.134615384615385,0.980769230769231,-0.480769230769231,37,3
"8",NA,-1.15384615384615,-1.53846153846154,-1.48076923076923,-0.653846153846154,0.557692307692307,NA,1,-0.980769230769231,NA,NA,0.192307692307693,1.13461538461538,-0.0192307692307692,-0.480769230769231,9,3
"8",NA,0.846153846153846,-1.53846153846154,-0.480769230769231,0.346153846153846,-0.442307692307693,NA,1,1.01923076923077,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,-0.480769230769231,29,3
"8",NA,0.846153846153846,1.46153846153846,-1.48076923076923,0.346153846153846,-1.44230769230769,NA,-2,1.01923076923077,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,0.519230769230769,21,3
"8",0,-2.15384615384615,-1.53846153846154,0.519230769230769,-0.653846153846154,1.55769230769231,1.1,1,-0.980769230769231,NA,NA,1.19230769230769,1.13461538461538,1.98076923076923,-0.480769230769231,17,3
"8",0,-0.153846153846154,-1.53846153846154,-0.480769230769231,1.34615384615385,0.557692307692307,0.1,0,0.0192307692307692,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,-0.480769230769231,29,2
"8",0,-2.15384615384615,0.461538461538462,1.51923076923077,-0.653846153846154,1.55769230769231,1.1,1,-0.980769230769231,NA,NA,0.192307692307693,0.134615384615385,-0.0192307692307692,-0.480769230769231,45,2
"8",0,-0.153846153846154,0.461538461538462,-0.480769230769231,1.34615384615385,0.557692307692307,-0.9,-1,1.01923076923077,NA,NA,-0.807692307692307,0.134615384615385,-1.01923076923077,-0.480769230769231,45,2
"8",NA,0.846153846153846,1.46153846153846,0.519230769230769,0.346153846153846,-1.44230769230769,NA,-1,1.01923076923077,NA,NA,-0.807692307692307,-1.86538461538462,-0.0192307692307692,0.519230769230769,5,2
"8",0,0.846153846153846,-1.53846153846154,-0.480769230769231,-0.653846153846154,-0.442307692307693,-0.9,1,-0.980769230769231,NA,NA,1.19230769230769,0.134615384615385,-0.0192307692307692,-0.480769230769231,21,2
"8",0,-2.15384615384615,0.461538461538462,-0.480769230769231,-0.653846153846154,0.557692307692307,0.1,1,1.01923076923077,NA,NA,1.19230769230769,0.134615384615385,-0.0192307692307692,-0.480769230769231,53,2
"8",NA,0.846153846153846,2.46153846153846,1.51923076923077,-0.653846153846154,-1.44230769230769,NA,-1,-0.980769230769231,NA,NA,0.192307692307693,0.134615384615385,-0.0192307692307692,-0.480769230769231,25,2
"8",0,0.846153846153846,-1.53846153846154,0.519230769230769,-0.653846153846154,0.557692307692307,0.1,1,-0.980769230769231,NA,NA,-0.807692307692307,0.134615384615385,0.980769230769231,-0.480769230769231,29,2
"8",NA,0.846153846153846,2.46153846153846,1.51923076923077,-0.653846153846154,-1.44230769230769,NA,-1,-0.980769230769231,NA,NA,0.192307692307693,0.134615384615385,0.980769230769231,-0.480769230769231,25,2
"8",0,-0.153846153846154,-1.53846153846154,-0.480769230769231,-0.653846153846154,1.55769230769231,0.1,1,0.0192307692307692,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,-0.480769230769231,17,2
"8",0,-0.153846153846154,-1.53846153846154,-0.480769230769231,0.346153846153846,1.55769230769231,0.1,1,0.0192307692307692,NA,NA,0.192307692307693,0.134615384615385,-0.0192307692307692,0.519230769230769,49,2
"8",0,0.846153846153846,-1.53846153846154,-0.480769230769231,-0.653846153846154,0.557692307692307,-0.9,1,1.01923076923077,NA,NA,-0.807692307692307,0.134615384615385,-0.0192307692307692,-0.480769230769231,33,2
