"","esm.IDnum.w1","esm.PRO01.w1","esm.PRO02.w1","esm.PRO03.w1","esm.startDateTime.w1","esm.PRO04.w1","esm.PRO05.w1","esm.PRO06.w1","esm.PRO07.w1","esm.endDateTime.w1","esm.OR.w1","esm.NQ11.w1","esm.NQ12.w1","esm.EXT.w1","esm.AGR.w1","esm.CON.w1","esm.NEU.w1","esm.NQ11+1.w1","esm.NQ12+1.w1","esm.EXT+1.w1","esm.AGR+1.w1","esm.CON+1.w1","esm.NEU+1.w1","esm.NQ01.w1","esm.BFI37.w1","esm.BFI21.w1","esm.BFI23.w1","esm.BFI09.w1","esm.NQ09.w1","esm.NQ07.w1","esm.BFI04.w1","esm.NQ33.w1","esm.BFI36.w1","esm.BFI32.w1","esm.BFI13.w1","esm.BFI19.w1","esm.BH01.w1","esm.BH02.w1","esm.ACT12.w1","esm.BH03.w1","esm.BH04.w1","esm.BH05.w1","esm.BH06.w1","esm.BH07.w1","esm.ACT13.w1","esm.ACT18.w1","esm.BH08.w1","esm.ACT06.w1","esm.ACT39.w1","esm.ST01.w1","esm.ST02.w1","esm.ST03.w1","esm.ST04.w1","esm.AGQ13.w1","esm.ST06.w1","esm.ST07.w1","esm.ST08.w1","esm.ST09.w1","esm.ST10.w1","esm.ST11.w1","esm.ST12.w1","esm.ST13.w1","esm.ST14.w1","esm.ST15.w1","esm.ST16.w1","esm.ST17.w1","esm.ST18.w1","esm.ST19.w1","esm.ST20.w1","esm.ST21.w1","esm.ST22.w1","esm.ST23.w1","esm.ST24.w1","esm.DY01.w1","esm.DY02.w1","esm.DY03.w1","esm.DY04.w1","esm.DY05.w1","esm.CESD01.w1","esm.CESD02.w1","esm.CESD03.w1","esm.CESD04.w1","esm.CESD05.w1","esm.CESD06.w1","esm.CESD07.w1","esm.CESD08.w1","esm.CESD09.w1","esm.CESD10.w1"
"31",10536,25,1,1,"12/8/13 12:42",7,25,7,1,"12/8/13 12:46","Waking up and then on the computer",2,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,3,NA,5,5,4,3,2,2,1,1,NA,2,2,1,0,0,0,0,0,0,0,1,0,2,NA,1,4,3,1,0,1,1,1,5,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",10543,20,1,1,"12/8/13 12:40",14,53,7,1,"12/8/13 12:42","At church",3,2,3,4,4,3,NA,NA,NA,NA,NA,NA,3,2,3,2,3,3,4,1,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,3,3,2,4,3,0,1,2,3,4,3,3,0,0,5,1,NA,NA,3,4,3,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",10509,44,1,1,"12/8/13 12:08",14,53,7,1,"12/8/13 12:11","Getting ready to go to brunch with a friend",4,1,4,4,4,1,NA,NA,NA,NA,NA,NA,5,1,2,2,5,4,5,1,1,4,3,3,1,0,0,1,0,0,0,0,0,0,0,3,3,1,5,4,0,1,3,5,3,3,4,0,0,2,1,NA,NA,4,5,3,4,2,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",10544,17,1,1,"12/8/13 12:02",14,53,7,1,"12/8/13 12:08","Getting lunch at the galleria with a friend",4,2,3,4,4,2,NA,NA,NA,NA,NA,NA,4,2,3,3,4,4,3,2,2,3,3,4,2,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,0,1,2,4,3,3,4,0,0,2,1,NA,NA,3,3,3,2,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",10547,57,1,1,"12/8/13 12:00",3,9,7,1,"12/8/13 12:03","Watching lectures online.",3,2,2,4,4,2,NA,NA,NA,NA,NA,NA,4,1,5,2,4,4,3,2,2,3,3,4,1,1,1,0,1,0,0,0,0,0,0,4,1,2,2,1,0,1,4,4,3,2,2,0,0,2,1,NA,NA,5,5,3,3,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",10526,36,1,1,"12/7/13 13:18",5,17,6,1,"12/7/13 13:29","Intramural basketball",5,2,5,4,4,1,NA,NA,NA,NA,NA,NA,4,2,2,1,5,5,5,1,1,5,3,3,1,0,0,0,0,0,0,0,0,0,0,4,1,2,5,5,0,1,1,5,4,2,4,1,0,5,1,NA,NA,4,5,3,2,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",10509,44,1,1,"12/7/13 12:29",13,49,6,1,"12/7/13 12:31","juggling/doing random to-do list stuff in my room",4,1,4,NA,4,2,NA,NA,NA,NA,NA,NA,5,NA,2,3,5,5,4,1,1,4,NA,4,2,1,0,1,1,1,0,0,0,0,0,4,NA,1,5,4,0,0,3,4,4,5,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",10539,51,1,1,"12/7/13 12:20",3,9,6,1,"12/7/13 12:22","Slept for most, then was in my bed browsing the internet",4,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,5,NA,5,5,5,4,4,2,2,1,NA,2,1,1,0,0,0,0,0,0,0,0,0,1,NA,1,4,5,1,0,1,2,2,5,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",10515,46,1,1,"12/7/13 12:13",15,57,6,1,"12/7/13 12:16","Seinfeld",4,2,2,NA,3,1,NA,NA,NA,NA,NA,NA,5,NA,3,5,5,4,4,1,1,1,NA,4,1,1,0,0,1,0,0,0,0,1,0,1,NA,1,5,5,0,0,2,1,1,5,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",10547,57,1,1,"12/7/13 12:02",2,5,6,1,"12/7/13 12:04","Folding laundry and listening to music aloud.",3,2,1,NA,4,2,NA,NA,NA,NA,NA,NA,2,NA,5,2,4,4,3,1,3,1,NA,3,1,1,0,1,0,0,0,0,0,0,0,3,NA,1,4,2,0,0,3,4,3,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",10536,25,1,1,"12/7/13 12:00",6,21,6,1,"12/7/13 12:45","waking up and nursing an early hangover",1,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,3,NA,5,5,4,2,2,2,3,1,NA,2,1,1,0,0,0,0,1,0,0,0,0,3,NA,1,4,1,1,0,1,2,1,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",10541,20,1,1,"12/6/13 13:22",5,17,5,0,"12/6/13 13:25","Math class",3,1,3,4,4,3,NA,NA,NA,NA,NA,NA,4,1,3,2,3,3,3,1,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,2,1,3,5,4,0,1,4,3,3,4,3,0,0,4,1,NA,NA,5,5,3,4,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",10530,55,1,1,"12/6/13 13:20",15,57,5,0,"12/6/13 13:22","Reading and watching a video.",4,2,1,NA,2,3,NA,NA,NA,NA,NA,NA,3,NA,5,4,3,4,4,1,2,1,NA,2,2,1,0,0,1,0,0,0,0,1,0,2,NA,1,4,5,0,0,1,3,1,5,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
