"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"46",10,4,5,20,1,2,3,4,1,4,5,4,2,"7","7.5",34,11,1.14285714285714,3.55555555555556,2.16666666666667,3.33333333333333,1.30555555555556,2.88888888888889,4.53571428571429,4,2.33333333333333
"51",27,4,5,20,2,5,5,4,1,1,4,1,2,"7","7.5",76,13,1.40540540540541,3.79268292682927,1.85365853658537,3.82926829268293,1.29268292682927,2.31707317073171,4.41891891891892,3.96341463414634,2.13414634146341
"54",28,4,5,20,1,2,1,3,1,4,4,4,1,"7","7.5",69,15,1.05084745762712,2.62666666666667,1.24,3.53333333333333,1.02666666666667,3.28,3.66101694915254,4.42666666666667,1.34666666666667
"61",23,4,5,20,2,2,5,4,2,4,3,3,1,"7","7.5",107,16,1.34831460674157,2.97345132743363,2.95575221238938,2.84955752212389,1.36283185840708,2.66371681415929,3.40449438202247,2.98230088495575,2.0353982300885
"70",19,4,5,20,1,1,1,5,1,5,5,5,1,"7","7.5",43,18,1.38375,2.46,2.08,3.36,1.54,3.56,4.03875,4.32,2.08
"91",29,4,5,20,1.95454545454545,4,1,3,1,2,3.078125,4,2,"7","7.5",65,28,1.95454545454545,3.46575342465753,2.02739726027397,3.93150684931507,1.04109589041096,3.02739726027397,3.078125,3.9041095890411,1.41095890410959
"94",4,4,5,20,1.3,5,1,3,1,1,3.1,4,2,"7","7.5",12,30,1.3,3,1.25,3.25,1.25,3.25,3.1,3.91666666666667,1.58333333333333
"97",16,4,5,20,1.18518518518519,5,4,4,1,1,4.11111111111111,3,1,"7","7.5",38,32,1.18518518518519,3.57142857142857,2.42857142857143,3.61904761904762,1.16666666666667,2.5952380952381,4.11111111111111,4.19047619047619,1.30952380952381
"10107",10,4,5,20,1,3,2,3,2,3,3,3,3,"7","7.5",22,35,1.53125,3.375,2,3.625,1.375,3.08333333333333,3.63541666666667,3.95833333333333,2.16666666666667
"10111",22,4,5,20,1,4,2,4,1,2,3,4,2,"7","7.5",71,37,1.05263157894737,3.61538461538462,2.6025641025641,3.64102564102564,1.14102564102564,2.57692307692308,3.36842105263158,3.88461538461538,2.33333333333333
"10123",6,4,5,20,3,3,4,2,3,2,3,2,3,"7","7.5",17,41,1.19736842105263,3.15789473684211,2.78947368421053,3.10526315789474,1.68421052631579,2.63157894736842,3.78947368421053,3.36842105263158,2.68421052631579
"10124",9,4,5,20,1.22222222222222,3,4,3,3,1,3.5,1,3,"7","7.5",44,42,1.22222222222222,2.84782608695652,2.08695652173913,3.23913043478261,1.39130434782609,3.06521739130435,3.5,3.73913043478261,2.1304347826087
"10132",15,4,5,20,1,2,1,5,2,3,4,4,4,"7","7.5",40,48,1.12820512820513,2.97826086956522,2.08695652173913,3.97826086956522,1.23913043478261,2.73913043478261,3.58974358974359,4.02173913043478,2.91304347826087
"10136",17,4,5,20,1.70588235294118,5,3,2,2,2,3.97058823529412,4,2,"7","7.5",41,51,1.70588235294118,3.76595744680851,2.91489361702128,3.1063829787234,2.36170212765957,2.27659574468085,3.97058823529412,3.65957446808511,1.97872340425532
"10268",28,4,5,20,1.14285714285714,3,2,3,1,1,2.04761904761905,1,1,"7","7.5",26,100,1.14285714285714,3.37931034482759,2.03448275862069,3.13793103448276,1.31034482758621,2.27586206896552,2.04761904761905,3.96551724137931,1.86206896551724
"10372",95,4,5,20,1.97413793103448,5,5,3,5,1,3.45689655172414,1,4,"7","7.5",145,141,1.97413793103448,3.97515527950311,3.32919254658385,3.3167701863354,2.91304347826087,2.08074534161491,3.45689655172414,3.02484472049689,3.21739130434783
"10397",89,4,5,20,2,2,4,5,2,4,4,4,2,"7","7.5",133,151,2.01626016260163,3.42361111111111,2.83333333333333,3.95138888888889,1.79861111111111,2.65277777777778,3.35833333333333,3.97916666666667,1.90972222222222
"10422",77,4,5,20,2,5,3,4,2,2,3,2,2,"7","7.5",73,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10437",96,4,5,20,1,3,1,4,1,2,5,4,2,"7","7.5",130,162,1.44776119402985,2.79285714285714,2.5,3.94285714285714,1.27857142857143,3.26428571428571,4.14925373134328,3.73571428571429,2.03571428571429
"10447",18,4,5,20,1,5,1,5,1,1,4.80769230769231,5,1,"7","7.5",29,167,1,3.02702702702703,1.86486486486486,4.83783783783784,1,3.62162162162162,4.80769230769231,4.94594594594595,1.16216216216216
"10459",36,4,5,20,2,4,2,1,5,1,3,2,5,"7","7.5",87,174,1.90123456790123,3.14285714285714,2.7032967032967,2.64835164835165,1.7032967032967,2.34065934065934,3.65432098765432,3,3.01098901098901
"10490",112,4,5,20,2,2,1,2,1,2,4,3,2,"7","7.5",159,186,1.65789473684211,3.4,2.81142857142857,3.22857142857143,1.14857142857143,2.25714285714286,3.97368421052632,3.12,2.30285714285714
"10492",35,4,5,20,1,1,1,5,1,5,4,4,1,"7","7.5",57,187,1.56896551724138,2.51515151515152,2.16666666666667,3.57575757575758,1.13636363636364,3.45454545454545,3.79310344827586,3.87878787878788,1.90909090909091
"10509",44,4,5,20,2,2,3,5,1,3,3,4,2,"7","7.5",61,193,1.53703703703704,2.38028169014085,2.88732394366197,3.54929577464789,1.54929577464789,3.12676056338028,3.11111111111111,3.25352112676056,2.61971830985915
"10523",35,4,5,20,1,3,3,5,1,5,4,3,2,"7","7.5",41,198,1.40540540540541,3.52083333333333,2.89583333333333,3.8125,1.22916666666667,2.79166666666667,3.43243243243243,3.54166666666667,1.66666666666667
"10539",89,4,5,20,2,2,2,4,2,3,4,3,2,"7","7.5",117,204,2.28448275862069,3.16153846153846,2.73076923076923,3.18461538461538,2.22307692307692,2.65384615384615,3.05172413793103,3.42307692307692,2.70769230769231
"10543",43,4,5,20,2,2,2,3,1,3,4,3,2,"7","7.5",31,207,2.09756097560976,3.11111111111111,2.73333333333333,3.6,1.06666666666667,2.77777777777778,2.8780487804878,3.08888888888889,2.24444444444444
"10545",41,4,5,20,1.125,3,3,3,2,1,2.9375,1,2,"7","7.5",38,208,1.125,3.20833333333333,2.91666666666667,2.91666666666667,1.9375,1.64583333333333,2.9375,1.75,2.10416666666667
