"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"5",0.179487179487179,1.19148936170213,-1.27659574468085,-0.914893617021277,1.31914893617021,-1.14893617021277,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,1.74468085106383,10.4893617021277,2.95744680851064,NA,NA
"5",-0.82051282051282,0.191489361702128,0.723404255319149,-0.914893617021277,-0.680851063829787,0.851063829787234,1.17948717948718,1.23404255319149,-0.0212765957446809,1.36170212765957,1.57446808510638,-0.659574468085106,-1.25531914893617,6.48936170212766,1.95744680851064,NA,NA
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,1.08510638297872,-0.680851063829787,1.85106382978723,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,0.574468085106383,1.34042553191489,-0.25531914893617,-1.51063829787234,-0.042553191489362,NA,NA
"5",NA,0.191489361702128,-0.276595744680851,0.0851063829787234,-0.680851063829787,-1.14893617021277,NA,0.234042553191489,-1.02127659574468,-2.63829787234043,-1.42553191489362,0.340425531914894,0.74468085106383,-5.51063829787234,-1.04255319148936,NA,NA
"5",0.179487179487179,-0.808510638297872,-0.276595744680851,-0.914893617021277,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-1.02127659574468,0.361702127659574,-0.425531914893617,0.340425531914894,-0.25531914893617,-9.51063829787234,-2.04255319148936,NA,NA
"5",0.179487179487179,-0.808510638297872,-0.276595744680851,0.0851063829787234,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-0.0212765957446809,0.361702127659574,0.574468085106383,-0.659574468085106,-0.25531914893617,-13.5106382978723,-3.04255319148936,NA,NA
"5",0.179487179487179,0.191489361702128,0.723404255319149,1.08510638297872,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,1.97872340425532,0.361702127659574,-1.42553191489362,-1.65957446808511,0.74468085106383,-17.5106382978723,2.95744680851064,NA,NA
"5",0.179487179487179,-0.808510638297872,-0.276595744680851,-0.914893617021277,0.319148936170213,0.851063829787234,-0.82051282051282,-0.765957446808511,0.978723404255319,0.361702127659574,-1.42553191489362,-0.659574468085106,-0.25531914893617,-21.5106382978723,1.95744680851064,NA,NA
"5",-0.82051282051282,1.19148936170213,-1.27659574468085,-0.914893617021277,-0.680851063829787,-0.148936170212766,-0.82051282051282,0.234042553191489,0.978723404255319,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,-25.5106382978723,0.957446808510638,NA,NA
"5",1.17948717948718,1.19148936170213,1.72340425531915,-1.91489361702128,0.319148936170213,-0.148936170212766,-0.82051282051282,0.234042553191489,1.97872340425532,-0.638297872340426,0.574468085106383,-0.659574468085106,0.74468085106383,19.4893617021277,-2.04255319148936,NA,NA
